1,Broadcast,Radiodiffusion
2,Fixed,Fixe
3,Land Mobile,Mobile terrestre
5,Maritime,Maritime
8,Aeronautical,Aéronautique
9,Satellite,Satellite
85,Spectrum Licence,Licence de spectre
